29.3737	31.8589	54.4126	29.842
4.53724	32.8853	19.3558	30.5057
70.1106	37.184	51.376	47.4257
196.022	79.3569	331.144	35.8541
0.404989	42.9952	28.2453	45.5794
48.2047	49.9208	20.6481	51.1443
19.3905	49.7474	0.624272	49.4163
147.942	50.9675	196.278	76.7453
223.767	255.526	196.663	79.0236
173.169	87.0268	191.816	81.6712
194.469	84.6267	175.559	91.6989
240.611	110.648	205.771	89.1391
203.574	95.5576	227.258	253.255
601.515	147.497	530.352	330.031
470.384	242.116	425.818	428.47
422.477	432.604	236.354	267.148
530.2	330.153	425.011	432.458
